Entity,Code,Year,population,Continent,GDP per capita,co2
Afghanistan,AFG,2016,35383000,asia,1929,0.244562379
Albania,ALB,2016,2886000,europe,10342,1.570467082
Algeria,DZA,2016,40551000,africa,14331,3.639333993
American Samoa,ASM,2016,56000,,,
Andorra,AND,2016,77000,europe,,6.090805195
Angola,AGO,2016,28842000,africa,8453,1.182683164
Anguilla,AIA,2016,14000,north america,,10.992
Antigua and Barbuda,ATG,2016,95000,north america,,5.8624
Argentina,ARG,2016,43508000,south america,18875,4.597748274
Armenia,ARM,2016,2936000,asia,10080,1.762061378
Aruba,ABW,2016,105000,south america,,8.409752381
Asia (excl. China & India),,2016,,,,4.03829353
Australia,AUS,2016,24263000,oceania,48845,17.02828965
Austria,AUT,2016,8747000,europe,41445,7.695767509
Azerbaijan,AZE,2016,9736000,europe,16645,3.81725142
Bahamas,BHS,2016,378000,north america,,4.720550265
Bahrain,BHR,2016,1426000,asia,41078,22.06150424
Bangladesh,BGD,2016,157976992,asia,3604,0.481107941
Barbados,BRB,2016,286000,north america,12003,4.426977912
Belarus,BLR,2016,9446000,europe,17628,6.451619558
Belgium,BEL,2016,11354000,europe,38766,8.668446402
Belize,BLZ,2016,368000,north america,,1.54326087
Benin,BEN,2016,10872000,africa,2080,0.576799558
Bermuda,BMU,2016,63000,europe,,9.712507937
Bhutan,BTN,2016,737000,asia,,1.561153016
Bolivia,BOL,2016,11032000,south america,6355,1.922911157
Bonaire Sint Eustatius and Saba,BES,2016,25000,,,13.1904
Bosnia and Herzegovina,BIH,2016,3386000,europe,9746,6.418449501
Botswana,BWA,2016,2160000,africa,15198,2.932141726
Brazil,BRA,2016,206163008,south america,13873,2.203085224
British Virgin Islands,VGB,2016,29000,north america,,7.328
Brunei,BRN,2016,420000,asia,,17.96219435
Bulgaria,BGR,2016,7152000,europe,17037,6.328010435
Burkina Faso,BFA,2016,18646000,africa,1483,0.181349117
Burundi,BDI,2016,10488000,africa,665,0.046074647
Cambodia,KHM,2016,15766000,asia,3251,0.616772685
Cameroon,CMR,2016,23927000,africa,2828,0.33417015
Canada,CAN,2016,36383000,north america,43745,15.50362575
Cape Verde,CPV,2016,531000,,6418,1.021227872
Cayman Islands,CYM,2016,63000,,,
Central African Republic,CAF,2016,4538000,africa,589,0.065399736
Chad,TCD,2016,14562000,africa,2189,0.068186014
Channel Islands,OWID_CIS,2016,167000,,,
Chile,CHL,2016,18209000,south america,21696,4.620942171
China,CHN,2016,1414049024,asia,12569,6.862901687
Colombia,COL,2016,48175000,south america,13326,2.010013579
Comoros,COM,2016,796000,africa,1702,0.253165829
Congo,COG,2016,4981000,africa,5974,0.637252221
Cook Islands,COK,2016,18000,oceania,,3.460444444
Costa Rica,CRI,2016,4899000,north america,14098,1.600237224
Cote d'Ivoire,CIV,2016,23823000,africa,3395,0.330364438
Croatia,HRV,2016,4209000,europe,20376,4.296158373
Cuba,CUB,2016,11335000,north america,,2.478631158
Curacao,CUW,2016,161000,south america,,33.45391304
Cyprus,CYP,2016,1170000,europe,25577,6.283587514
Czech Republic,CZE,2016,10619000,europe,28823,10.0385289
Czechoslovakia,OWID_CZS,2016,,,27738,
Democratic Republic of Congo,COD,2016,78789000,africa,836,0.02533354
Denmark,DNK,2016,5711000,europe,44836,6.482128811
Djibouti,DJI,2016,929000,africa,3064,0.645487133
Dominica,DMA,2016,71000,north america,9550,2.528676056
